serial_num,price,alpha,position,returns,pnl,cumulative_pnl
0,18105.30078125,0.0,0,0.0,,
1,18398.960605167085,-0.6302908003332321,-1,0.016219549592968008,0.0,0.0
2,18204.939538099745,-0.1234201240050798,0,-0.010545218897465958,0.010545218897465958,0.010545218897465958
3,18339.357782256004,-0.2402386656854624,0,0.007383613874407224,0.0,0.010545218897465958
4,18578.084798438016,-0.6126254962809314,-1,0.01301719607722518,0.0,0.010545218897465958
5,18710.62696692699,-0.3026600758406121,-1,0.007134328964851999,-0.007134328964851999,0.0034108899326139586
6,18747.60768475592,0.5061224477927544,1,0.0019764552996699436,-0.0019764552996699436,0.001434434632944015
7,18587.23348294108,0.6822208343753222,1,-0.008554382218337375,-0.008554382218337375,-0.00711994758539336
8,18747.024559005746,-0.4689514516956279,0,0.008596818682635954,0.008596818682635954,0.0014768710972425936
9,18492.162826472628,0.3024476661958122,0,-0.013594783093762275,-0.0,0.0014768710972425936
10,18572.601585375676,-0.1159743550845888,0,0.004349883767403195,0.0,0.0014768710972425936
11,18654.07156126157,-0.3878189223127477,0,0.0043865677897299005,0.0,0.0014768710972425936
12,18541.822238083,0.3276746440368221,0,-0.006017416777347129,-0.0,0.0014768710972425936
13,18669.21693719775,0.3748524405661624,0,0.006870667698080535,0.0,0.0014768710972425936
14,18513.52900474211,-0.1602533557694845,0,-0.008339285626138726,-0.0,0.0014768710972425936
15,18460.977139057504,-0.1736756905420853,0,-0.002838565552312877,-0.0,0.0014768710972425936
16,18489.303871293,-0.4087453393003777,0,0.0015344113164825757,0.0,0.0014768710972425936
17,18579.486129719317,-1.0210346519706746,-1,0.004877536712798447,0.0,0.0014768710972425936
18,18433.10268479693,0.2259157494810519,0,-0.007878767146753063,0.007878767146753063,0.009355638243995656
19,18308.21843685697,1.222251210768161,1,-0.0067749987658324295,-0.0,0.009355638243995656
20,17885.294547519345,0.3209615462400035,1,-0.023100220854161302,-0.023100220854161302,-0.013744582610165645
21,17770.50233336427,0.5351314066296333,1,-0.006418245662663358,-0.006418245662663358,-0.020162828272829003
22,17491.156124191904,-1.3675510404243905,0,-0.01571965743747672,-0.01571965743747672,-0.03588248571030572
23,17354.804848100128,0.2737597046771181,0,-0.007795441028806027,-0.0,-0.03588248571030572
24,17411.443614094966,-0.789901863938937,-1,0.003263578385961363,0.0,-0.03588248571030572
25,17452.06400757691,-0.2114009065504374,0,0.0023329710265416193,-0.0023329710265416193,-0.03821545673684734
26,17560.39348235746,-0.4398311256725837,0,0.0062072586218751,0.0,-0.03821545673684734
27,17542.57498702284,0.1387919156481056,0,-0.0010146979538084855,-0.0,-0.03821545673684734
28,17838.07599750851,-0.913362591048588,-1,0.01684479106996939,0.0,-0.03821545673684734
29,17448.533341424627,-0.2031935083503633,0,-0.02183770582311062,0.02183770582311062,-0.01637775091373672
30,17296.63942640049,-0.3809807067764132,0,-0.0087052540206074,-0.0,-0.01637775091373672
31,17361.761784291048,-0.0111779088591743,0,0.0037650295115223553,0.0,-0.01637775091373672
32,17539.528815946174,0.2241447657888775,0,0.010238997278258388,0.0,-0.01637775091373672
33,17525.155234247373,-0.3199067953963175,0,-0.0008194964556705875,-0.0,-0.01637775091373672
34,17493.518608159335,0.0342380542070852,0,-0.0018052123171048429,-0.0,-0.01637775091373672
35,17625.814994611825,-0.3735985428694273,0,0.007562594433734082,0.0,-0.01637775091373672
36,17827.213157321756,-0.6743658519786493,-1,0.0114263177487961,0.0,-0.01637775091373672
37,18007.35371684754,-0.1864870188702601,0,0.010104807629553791,-0.010104807629553791,-0.026482558543290513
38,17771.48512373527,-0.070581275131518,0,-0.0130984594861151,-0.0,-0.026482558543290513
39,17543.47382323097,-0.3772037803033674,0,-0.012830177045798696,-0.0,-0.026482558543290513
40,17526.94107320593,0.7331992628110071,1,-0.0009423874764840079,-0.0,-0.026482558543290513
41,17552.99400093636,0.5543469911559944,1,0.0014864503521530015,0.0014864503521530015,-0.02499610819113751
42,17710.51130248329,-0.5100360984518961,0,0.008973813899698646,0.008973813899698646,-0.016022294291438866
43,17948.44716619279,0.357016760638567,0,0.013434725832909056,0.0,-0.016022294291438866
44,18035.680246260537,-0.1151918679718708,0,0.004860202069851383,0.0,-0.016022294291438866
45,18392.884194652623,-0.5197473124709253,-1,0.019805404815055327,0.0,-0.016022294291438866
46,18446.60830350684,0.2411985233989702,0,0.0029209181271221407,-0.0029209181271221407,-0.018943212418561006
47,18249.992070353357,0.8270010061802848,1,-0.010658665805578171,-0.0,-0.018943212418561006
48,18610.575162426376,0.1575334186324926,0,0.019757986232705083,0.019757986232705083,0.0008147738141440763
49,18345.19824306049,0.9880040088651336,1,-0.014259468987377955,-0.0,0.0008147738141440763
50,18418.43764956834,0.2837906468708047,0,0.003992292998826086,0.003992292998826086,0.004807066812970162
51,18657.23409392317,-0.6262450321642121,-1,0.012965076023178757,0.0,0.004807066812970162
52,18690.52242059924,0.3012590920075149,0,0.0017842048027318924,-0.0017842048027318924,0.0030228620102382697
53,18613.01089049581,0.0916941254185492,0,-0.004147103454850698,-0.0,0.0030228620102382697
54,18983.923708070502,-0.2596389330664876,0,0.019927609764849308,0.0,0.0030228620102382697
55,18671.89076375564,0.1431920889519427,0,-0.016436693968708393,-0.0,0.0030228620102382697
56,19000.100753805244,-0.0853150350978746,0,0.017577758685622724,0.0,0.0030228620102382697
57,19216.27690336477,0.5325209946500715,1,0.01137763174841222,0.0,0.0030228620102382697
58,19000.336305717985,0.1374301470687657,0,-0.011237379578401874,-0.011237379578401874,-0.008214517568163604
59,18988.502511946288,-0.1777744855292957,0,-0.0006228202270365246,-0.0,-0.008214517568163604
60,19469.11885750076,1.0184638739937704,1,0.025310913551613856,0.0,-0.008214517568163604
61,19343.576398319103,-0.5804566692970574,0,-0.006448286648231716,-0.006448286648231716,-0.01466280421639532
62,19170.93917928164,1.2305090079318624,1,-0.008924782857241742,-0.0,-0.01466280421639532
63,19018.24228219406,-0.7863825702645648,0,-0.007965019118760797,-0.007965019118760797,-0.022627823335156116
64,19132.490984549364,0.7422013859968755,1,0.006007321847101954,0.0,-0.022627823335156116
65,19029.79055853305,0.2677287773121786,0,-0.005367854405328054,-0.005367854405328054,-0.02799567774048417
66,18971.023603912097,0.2391879845440221,0,-0.003088155617908428,-0.0,-0.02799567774048417
67,18801.75992367921,1.2908142538527263,1,-0.008922221792923457,-0.0,-0.02799567774048417
68,18897.01359704328,0.8004073465464101,1,0.005066210490439538,0.005066210490439538,-0.022929467250044633
